Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Ended with Goal,Carries Ended with Assist,Carries Ended with Shot,Carries Ended with Chance,Possession Won,Dispossessed,Clean Sheets,Clearances,Interceptions,Blocks,Tackles,Ground Duels,gDuels Won,gDuels %,Aerial Duels,aDuels Won,aDuels %,Goals Conceded,xGoT Conceded,Own Goals,Fouls,Yellow Cards,Red Cards,Saves,Saves %,Penalties Saved,Clearances Off Line,Punches,High Claims,Goals Prevented,Desarmes por 90m,Intercept por 90m,Bolas zeradas po 90m,Bloqueios por 90m,Duelos no chão por 90m,Duelos aereos por 90m,Versatilidade defensiva,Desarmes sucesso %,Impacto de Posse,Segurança Defensiva,Passes por 90m,Quebra de linha por 90m,Condução por 90m,Condução ao ataque por 90m,Assistencias por 90m,Conduções que geraram assistencia por 90m,Eficacia com a bola,Gols por 90m,Chutes por 90m,Chutes ao gol por 90m,Grandes chances perdidas por 90m,Gols por Assistência
Aaron Ramsdale,Southampton,England,GKP,30,2700,0,0,0,0,0%,0,0,0,1421,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,0,0%,0,0,0%,66,66,0,1,2,0,125,66%,2,0,0,25,0.1,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Adam Lallana,Southampton,England,MID,14,356,0,2,3,0,0%,0,0,0,333,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,6,0,5,0,0,8,0,0,0%,0,0,0%,0,0,0,8,4,0,0,0%,0,0,0,0,0.0,2.0224719101123596,0.0,1.2640449438202246,0.0,0.0,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5056179775280899,0.5056179775280899,0.0,0.0,0.7584269662921348,0.0,0.0,0.0
Albert Grønbæk,Southampton,Denmark,FWD,4,143,0,0,2,0,0%,0,0,0,43,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,4,0,1,0,0,4,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0.0,2.5174825174825175,0.0,0.6293706293706294,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2587412587412588,0.0,0.0,
Alex McCarthy,Southampton,England,GKP,5,450,0,0,0,0,0%,0,0,0,192,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,24,0%,0,0,2,8,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Armel Bella-Kotchap,Southampton,Germany,DEF,4,329,0,0,1,0,0%,1,0,0,270,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,21,0,0,7,0,0,0%,0,0,0%,0,0,0,3,0,0,0,0%,0,0,0,0,0.0,1.9148936170212765,0.0,5.744680851063829,0.0,0.0,0.0,,0.7,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2735562310030395,0.0,0.2735562310030395,
Ben Brereton,Southampton,Chile,FWD,10,448,0,0,11,0,0%,2,0,1,215,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0%,0,0,0%,0,0,0,4,1,0,0,0%,0,0,0,0,0.0,0.6026785714285714,0.0,0.8035714285714285,0.0,0.0,0.0,,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2098214285714284,0.0,0.40178571428571425,
Cameron Archer,Southampton,England,FWD,35,1432,2,0,29,3,0%,10,3,8,451,770,626,81%,0,0,0%,137,68,50%,1,131,61,0,0,0,0,44,26,0,9,14,14,13,29,21,72%,66,44,67%,0,0,0,16,0,0,0,0%,0,0,0,0,0.0,0.8170391061452514,0.8798882681564246,0.5656424581005587,0.8798882681564246,1.8226256983240223,4.148044692737431,0.4393939393939394,0.4482758620689655,1.6923076923076923,1.6923076923076923,48.39385474860335,0.06284916201117319,8.233240223463687,3.833798882681564,0.0,3.833798882681564,1.6923076923076923,0.12569832402234637,1.8226256983240223,0.18854748603351956,0.6284916201117318,
Charlie Taylor,Southampton,England,DEF,8,353,0,0,0,0,0%,0,0,0,285,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0%,0,0,0%,0,0,0,2,1,0,0,0%,0,0,0,0,0.0,1.7847025495750708,0.0,0.0,0.0,0.0,0.0,,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chiedozie Ogbene,Southampton,Ireland,FWD,5,240,0,0,0,0,0%,0,0,1,79,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0%,0,0,0%,0,0,0,2,0,0,0,0%,0,0,0,0,0.0,2.625,0.0,1.125,0.0,0.0,0.0,,0.7777777777777778,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Flynn Downes,Southampton,England,MID,27,2154,1,0,10,5,14%,1,0,0,1414,1628,1477,91%,9,0,0%,352,281,80%,1,307,191,0,0,0,2,63,17,3,50,16,29,49,71,46,65%,93,55,59%,0,0,0,50,12,0,0,0%,0,0,0,0,0.0,2.0473537604456826,0.6685236768802229,2.0891364902506964,1.2116991643454038,2.9665738161559885,3.885793871866295,0.7634408602150538,0.494949494949495,3.7058823529411766,3.7058823529411766,68.02228412256267,0.04178272980501393,12.827298050139277,7.9805013927576605,0.0,7.9805013927576605,3.7058823529411766,0.04178272980501393,0.41782729805013924,0.20891364902506962,0.04178272980501393,
Jack Stephens,Southampton,England,DEF,19,1394,1,0,4,4,10%,0,1,1,1115,1095,948,87%,1,0,0%,174,121,70%,0,183,69,0,0,0,1,61,3,1,49,21,26,34,94,63,67%,126,85,68%,0,0,0,13,2,2,0,0%,0,1,0,0,0.0,2.1951219512195124,1.3558106169296986,3.163558106169297,1.6786226685796268,6.068866571018651,8.134863701578192,0.746031746031746,0.723404255319149,20.333333333333332,20.333333333333332,70.6958393113343,0.0,11.814921090387376,4.45480631276901,0.0,4.45480631276901,20.333333333333332,0.06456241032998565,0.2582496413199426,0.2582496413199426,0.0,
James Bree,Southampton,England,DEF,17,1073,0,1,4,4,0%,0,0,0,715,698,573,82%,28,5,18%,202,150,74%,2,144,48,0,0,0,0,73,5,1,27,23,4,19,126,69,55%,24,11,46%,0,0,0,4,0,0,0,0%,0,0,0,0,0.0,1.5936626281453867,1.929170549860205,2.264678471575023,0.33550792171481825,10.568499534016775,2.0130475302889095,5.25,0.8260869565217391,14.6,14.6,58.54613233923578,0.16775396085740912,12.078285181733456,4.026095060577819,0.08387698042870456,4.1099720410065235,14.6,0.0,0.33550792171481825,0.33550792171481825,0.0,0.0
Jan Bednarek,Southampton,Poland,DEF,30,2535,2,0,5,5,6%,1,0,0,2087,2265,2004,89%,11,5,46%,458,332,73%,4,770,494,0,0,1,6,131,3,3,189,24,22,36,126,73,58%,134,83,62%,0,0,0,31,7,0,0,0%,0,2,0,0,0.0,1.2781065088757395,0.8520710059171598,6.710059171597633,0.7810650887573964,4.4733727810650885,4.757396449704141,0.9402985074626866,0.5373134328358209,43.666666666666664,43.666666666666664,80.41420118343196,0.14201183431952663,27.337278106508876,17.53846153846154,0.0,17.53846153846154,43.666666666666664,0.07100591715976332,0.1775147928994083,0.1775147928994083,0.03550295857988166,
Jay Robinson,Southampton,England,MID,4,135,0,0,1,0,0%,0,0,0,67,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,6,0,1,0,0,4,0,0,0%,0,0,0%,0,0,0,3,0,0,0,0%,0,0,0,0,0.0,2.666666666666667,0.0,0.6666666666666667,0.0,0.0,0.0,,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,
Joachim Kayi-Sanda,Southampton,France,DEF,2,12,0,0,0,0,0%,0,0,0,19,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Joe Aribo,Southampton,Nigeria,MID,32,2018,3,0,17,10,15%,2,2,1,1357,483,388,80%,32,7,22%,171,123,72%,3,233,115,0,0,5,3,94,18,0,28,12,2,47,230,111,48%,122,40,33%,0,0,0,20,1,0,0,0%,0,0,0,0,0.0,2.0961347869177405,0.535183349851338,1.248761149653122,0.08919722497522299,10.257680872150644,5.441030723488603,1.8852459016393444,0.7014925373134329,5.222222222222222,5.222222222222222,21.541129831516354,0.1337958374628345,10.391476709613478,5.128840436075322,0.0,5.128840436075322,5.222222222222222,0.1337958374628345,0.7581764122893955,0.44598612487611494,0.08919722497522299,
